"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"Gärdslösaskola","74710343","Borgholm","0885","Kommunal","Borgholmskommun","2120000795","000000011","..","000000060","","","","","","","","","","","",""
"Köpingsskola","64896318","Borgholm","0885","Kommunal","Borgholmskommun","2120000795","000000022","..","000000081","","","","","","","","","","","",""
"Rällaskola","23868656","Borgholm","0885","Kommunal","Borgholmskommun","2120000795","000000004","..","000000047","","","","","","","","","","","",""
"Slottsskolan","80852248","Borgholm","0885","Kommunal","Borgholmskommun","2120000795",".",".","000000269","","","","","","","","","","","",""
"Viktoriaskolan","42934439","Borgholm","0885","Kommunal","Borgholmskommun","2120000795","000000026","46.2","000000147","","","","","","","","","","","",""
"Åkerboskolan","82520504","Borgholm","0885","Kommunal","Borgholmskommun","2120000795","000000015","..","000000133","","","","","","","","","","","",""
"Amsbergsskola","53466112","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000005","..","000000047","","","","","","","","","","","",""
"Domnarvetsskola","91219337","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000048","41.7","000000612","","","","","","","","","","","",""
"Forssaklackskolan","84601215","Borlänge","2081","Kommunal","Borlängekommun","2120002239",".",".","000000465","","","","","","","","","","","",""
"Forssaängskolan","16213077","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000043","32.6","000000311","","","","","","","","","","","",""
"Gylleskola7-9","11406792","Borlänge","2081","Kommunal","Borlängekommun","2120002239",".",".","000000392","","","","","","","","","","","",""
"GylleskolaF-6","80265253","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000084","48.8","000000400","","","","","","","","","","","",""
"Halvarsgårdarsskola","98971545","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000012","..","000000058","","","","","","","","","","","",""
"Immanuelskolan","24147931","Borlänge","2081","Enskild","StiftelsenImmanuel","8826020722","000000016","..","000000118","","","","","","","","","","","",""
"KunskapsskolanBorlänge","70510891","Borlänge","2081","Enskild","KunskapsskolaniSverigeAktiebolag","5565661815",".",".","000000355","","","","","","","","","","","",""
"Kvarnsvedensskola","53010712","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000068","50","000000426","","","","","","","","","","","",""
"Kyrkskolan","39328823","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000024","45.8","000000133","","","","","","","","","","","",""
"Lanternan","59137023","Borlänge","2081","Enskild","AdventumSpecialpedagogikAB","5563876753",".",".","000000018","","","","","","","","","","","",""
"Maserskolan","56442130","Borlänge","2081","Kommunal","Borlängekommun","2120002239",".",".","000000357","","","","","","","","","","","",""
"Mjälgaskolan","47473951","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000022","..","000000048","","","","","","","","","","","",""
"Nygårdsskolan","23251345","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000045","42.2","000000285","","","","","","","","","","","",""
"Ornässkola","58395955","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000022","63.6","000000415","","","","","","","","","","","",""
"Paradisskolan","73689078","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000081","49.4","000000268","","","","","","","","","","","",""
"Skräddarbacksskolan","73660679","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000069","55.1","000000436","","","","","","","","","","","",""
"Tjärnaskolan","34516710","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000066","57.6","000000268","","","","","","","","","","","",""
"Torsångsskola","94897392","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000021","47.6","000000094","","","","","","","","","","","",""
"Tunetsskola","83119674","Borlänge","2081","Kommunal","Borlängekommun","2120002239","000000026","69.2","000000132","","","","","","","","","","","",""
"Aplaredskolan","79575640","Borås","1490","Kommunal","Boråskommun","2120001561","000000007","..","000000050","","","","","","","","","","","",""
"Asklandaskolan","97485987","Borås","1490","Kommunal","Boråskommun","2120001561","000000037","37.8","000000236","","","","","","","","","","","",""
"BergdalskolanF-6","85493502","Borås","1490","Kommunal","Boråskommun","2120001561","000000047","40.4","000000322","","","","","","","","","","","",""
"Björkhöjdskolan7-9","95576349","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000177","","","","","","","","","","","",""
"BjörkhöjdskolanF-6","80373308","Borås","1490","Kommunal","Boråskommun","2120001561","000000037","48.6","000000215","","","","","","","","","","","",""
"Bodaskolan7-9","67454907","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000473","","","","","","","","","","","",""
"BodaskolanF-6","94172239","Borås","1490","Kommunal","Boråskommun","2120001561","000000045","40","000000261","","","","","","","","","","","",""
"Borgstenaskolan","77362129","Borås","1490","Kommunal","Boråskommun","2120001561","000000005","..","000000077","","","","","","","","","","","",""
"BoråsKristnaskola","64720166","Borås","1490","Enskild","ABBoråsKristnaSkola","5592935042","000000013","..","000000155","","","","","","","","","","","",""
"Bredaredskolan","88594941","Borås","1490","Kommunal","Boråskommun","2120001561","000000020","50","000000112","","","","","","","","","","","",""
"Byttorpskolan","60337075","Borås","1490","Kommunal","Boråskommun","2120001561","000000035","40","000000137","","","","","","","","","","","",""
"Dalsjöskolan4-6","95015820","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000212","","","","","","","","","","","",""
"Dalsjöskolan7-9","60557814","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000429","","","","","","","","","","","",""
"Daltorpskolan7-9","97706771","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000454","","","","","","","","","","","",""
"DaltorpskolanF-6Kronäng2","13746989","Borås","1490","Kommunal","Boråskommun","2120001561","000000020","50","000000115","","","","","","","","","","","",""
"Dannikeskolan","24961270","Borås","1490","Kommunal","Boråskommun","2120001561","000000012","..","000000066","","","","","","","","","","","",""
"Ekarängskolan","95440729","Borås","1490","Kommunal","Boråskommun","2120001561","000000056","39.3","000000278","","","","","","","","","","","",""
"Engelbrektskolan7-9","86215855","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000345","","","","","","","","","","","",""
"EngelbrektskolanF-6","70233136","Borås","1490","Kommunal","Boråskommun","2120001561","000000066","42.4","000000372","","","","","","","","","","","",""
"Erikslundskolan7-9","73269899","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000212","","","","","","","","","","","",""
"ErikslundskolanF-6","71926648","Borås","1490","Kommunal","Boråskommun","2120001561","000000020","65","000000107","","","","","","","","","","","",""
"FjärdingskolanF-6","74866813","Borås","1490","Kommunal","Boråskommun","2120001561","000000044","38.6","000000279","","","","","","","","","","","",""
"Fristadskolan7-9","86708639","Borås","1490","Kommunal","Boråskommun","2120001561",".",".","000000403","","","","","","","","","","","",""
"Gulaskolan","90802324","Borås","1490","Kommunal","Boråskommun","2120001561","000000033","69.7","000000219","","","","","","","","","","","",""
"Gånghesterskolan","20256677","Borås","1490","Kommunal","Boråskommun","2120001561","000000023","47.8","000000208","","","","","","","","","","","",""
"HestraMidgårdskolan","77733096","Borås","1490","Kommunal","Boråskommun","2120001561","000000074","45.9","000000336","","","","","","","","","","","",""
"InternationellaEngelskaSkolanBorås","58354320","Borås","1490","Enskild","InternationellaEngelskaSkolaniSverigeAB","5564624368",".",".","000000529","","","","","","","","","","","",""
